id,type,user_id,review_id
383,False,38,60
384,True,34,56
385,False,36,48
386,False,50,98
387,True,1,4
388,False,27,22
389,False,44,56
390,False,2,25
391,True,36,34
392,True,13,53
393,False,33,86
394,False,35,74
395,False,5,70
396,False,1,94
397,False,4,50
398,True,34,24
399,False,36,70
400,False,14,45
401,False,18,51
402,True,40,14
403,False,8,24
404,False,21,78
405,True,30,60
406,False,3,60
407,True,15,75
408,True,22,55
409,True,42,97
410,True,15,41
411,False,33,47
412,True,21,27
413,False,2,40
414,True,24,99
415,False,23,32
416,False,15,4
417,True,10,11
418,False,26,21
419,True,11,37
420,True,39,65
421,True,16,95
422,False,10,43
423,True,35,44
424,True,29,86
425,True,18,87
426,True,34,39
427,True,41,99
428,False,3,27
429,False,17,1
430,False,38,3
431,False,9,30
432,False,8,6
433,True,36,13
434,True,49,47
435,True,23,46
436,False,10,19
437,False,32,93
438,True,50,25
439,True,29,55
440,False,6,44
441,True,10,58
442,True,20,60
443,True,21,90
444,False,33,30
445,True,1,5
446,False,46,98
447,True,11,100
448,False,5,49
449,True,3,52
450,False,43,63
451,True,33,82
452,False,6,23
453,False,14,18
454,True,11,16
455,True,42,25
456,True,48,61
457,True,28,21
458,False,10,99
459,True,50,9
460,False,10,80
461,True,47,78
462,True,14,77
463,False,10,93
464,False,36,27
465,False,45,22
466,False,26,54
467,True,45,36
468,False,9,67
469,False,11,49
470,True,4,58
471,True,21,82
472,True,7,99
473,False,3,23
474,True,17,79
475,True,36,43
476,True,48,6
477,True,45,7
478,False,34,29
479,False,9,80
480,False,41,19
481,False,31,26
482,True,17,26
483,False,48,54
484,True,29,83
485,True,5,2
486,False,6,57
487,True,13,43
488,False,39,94
489,True,24,37
490,False,4,42
491,False,47,52
492,True,20,5
493,False,40,10
494,True,28,89
495,True,7,96
496,False,38,58
497,True,29,31
498,False,27,93
499,False,3,58
500,True,50,73
